English;Latin;Français;Español;Portugues
Jejunum;Jejunum;Jéjunum;Yeyuno;Jejuno
Ileum;Ileum;Iléon;Íleon;Ileum
Aggregated lymphoid nodules of ileum;Noduli lymphoidei aggregati ilei;Nodules lymphoïdes aggrégés de l'iléon;Nódulos linfoides agregados del íleon;Nódulos linfóides agregados do íleo
Terminal ileum;Pars terminalis ilei;Partie terminale de l'iléon;Porción terminal del íleon;Íleo terminal
(Ileal diverticulum);(Diverticulum ilei);(Diverticule de l'iléon);(Divertículo ileal);(Divertículo ileal)
Large intestine;Intestinum crassum;Gros intestin;Intestino grueso;Intestino grosso
Serosa of large intestine;Tunica serosa intestini crassi;Séreuse du gros intestin;Capa serosa del intestino grueso;Serosa do intestino grosso
Subserosa of large intestine;Tela subserosa intestini crassi;Couche sous-séreuse du gros intestin;Capa subserosa del intestino grueso;Subserosa do intestino grosso
Muscular layer of large intestine;Tunica muscularis intestini crassi;Musculeuse du gros intestin;Capa muscular del intestino grueso;Camada muscular do intestino grosso
Submucosa of large intestine;Tela submucosa intestini crassi;Sous-muqueuse du gros intestin;Capa submucosa del intestino grueso;Submucosa do intestino grosso
Mucosa of large intestine;Tunica mucosa intestini crassi;Muqueuse du gros intestin;Capa mucosa del intestino grueso;Mucosa do intestino grosso
Crypts of large intestine;Cryptae intestini crassi;Cryptes du gros intestin;Criptas del intestino grueso;Criptas do intestino grosso
Caecum;Caecum;Caecum;Ciego;Ceco
Ileal papilla;Papilla ilealis;Papille iléale;Papila ileal;Papila ileal
Ileal orifice;Ostium ileale;Orifice iléal;Ostio ileal;Orifício ileal
Frenulum of ileal orifice;Frenulum ostii ilealis;Frein de l'orifice iléal;Frenillo del ostio ileal;Frênulo do orifício ileal
Ileocolic lip;Labrum ileocolicum;Lèvre iléocolique;Labio ileocólico;Lábio ileocólico
Ileocaecal lip;Labrum ileocaecale;Lèvre iléocaecale;Labio ileocecal;Lábio ileocaecal
Vermiform appendix;Appendix vermiformis;Appendice vermiforme;Apéndice vermiforme;Apêndice vermiforme
Orifice of vermiform appendix;Ostium appendicis vermiformis;Orifice de l'appendice vermiforme;Ostio del apéndice vermiforme;Orifício do apêndice vermiforme
Aggregated lymphoid nodules of vermiform appendix;Noduli lymphoidei aggregati appendicis vermiformis;Lymphonoeuds agglomérés;Nódulos linfoides agregados del apéndice vermiforme;Nódulos linfóides agregados do apêndice vermiforme
Appendicular fold;Plica appendicularis;Pli appendiculaire;Pliegue apendicular;Dobra apendicular
(Precaecocolic fascia);(Fascia precaecocolica);(Fascia précaecocolique);(Fascia precólica);(Fáscia précólica)
Colon;Colon;Côlon;Colon;Cólon
Ascending colon;Colon ascendens;Côlon ascendant;Colon ascendente;Dois pontos ascendentes
Right colic flexure;Flexura dextra coli;Angle colique droit;Flexura cólica derecha;Flexura cólica direita
Transverse colon;Colon transversum;Côlon transverse;Colon transverso;Cólon transverso
Left colic flexure;Flexura sinistra coli;Angle colique gauche;Flexura cólica izquierda;Flexura cólica esquerda
Descending colon;Colon descendens;Côlon descendant;Colon descendente;Cólon descendente
Sigmoid colon;Colon sigmoideum;Côlon sigmoïde;Colon sigmoideo;Cólon sigmóide
Semilunar folds of colon;Plicae semilunares coli;Plis semilunaires du côlon;Pliegues semilunares del colon;Dobras semilunares do cólon
Haustra of colon;Haustra coli;Haustrations du côlon;Haustras del colon;Haustra do cólon
Omental appendices;Appendices omentales;Appendices omentaux;Apéndices omentales;Apêndices mentais
Muscular layer of colon;Tunica muscularis coli;Musculeuse du côlon;Capa muscular del colon;Camada muscular do cólon
Longitudinal muscular layer of colon;Stratum musculare longitudinale coli;Couche musculaire longitudinale du colon;Capa muscular longitudinal del colon;Camada muscular longitudinal do cólon
Taeniae coli;Taeniae coli;Ténias du côlon;Tenias del colon;Taeniae coli
Mesocolic taenia;Taenia mesocolica;Ténia mésocolique;Tenia mesocólica;Tênia mesocólica
Omental taenia;Taenia omentalis;Ténia omental;Tenia omental;Tênia omental
Free taenia;Taenia libera;Ténia libre;Tenia libre;Tênia livre
Circular muscular layer of colon;Stratum musculare circulare coli stratum;Couche musculaire circulaire du côlon;Capa muscular circular del colon;Camada muscular circular do cólon
Rectum;Rectum;Rectum;Recto;Reto
Sacral flexure of rectum;Flexura sacralis recti;Courbure sacrale du rectum;Flexura sacra del recto;Flexura sacral do reto
Lateral flexures of rectum;Flexurae laterales recti;Courbures latérales du rectum;Flexuras laterales del recto;Flexuras laterais do reto
Superior lateral flexure of rectum;Flexura lateralis superior recti flexura;Courbure supérolatérale droite;Flexura lateral superior del recto;Flexura lateral superior do reto
Intermediate lateral flexure of rectum;Flexura lateralis intermedia recti flexura;Courbure intermédiaire latérale du rectum;Flexura lateral intermedia del recto;Flexura lateral intermediária do reto
Inferior lateral flexure of rectum;Flexura lateralis inferior recti flexura;Courbure inférolatérale du rectum;Flexura inferolateral del recto;Flexura inferolateral do reto
Transverse rectal folds;Plicae transversae recti;Plis transverses du rectum;Pliegues transversales del recto;Dobras retais transversais
Rectal ampulla;Ampulla recti;Ampoule rectale;Ampolla rectal;Ampola retal
Muscular layer of rectum;Tunica muscularis recti;Musculeuse du rectum;Capa muscular del recto;Camada muscular do reto
Longitudinal muscular layer of rectum;Stratum musculare longitudinale recti;Couche musculaire longitudinale du rectum;Capa muscular longitudinal del recto;Camada muscular longitudinal do reto
Circular muscular layer of rectum;Stratum musculare circulare recti stratum;Couche musculaire circulaire du rectum;Capa muscular circular del recto;Camada muscular circular do reto
Anal canal;Canalis analis;Canal anal;Canal anal;Canal anal
Anorectal flexure;Flexura anorectalis;Courbure anorectale;Flexión anorrectal;Flexura anorretal
Anorectal junction;Junctio anorectalis;Jonction anorectale;Unión anorrectal;Junção anorretal
Anal columns;Columnae anales;Colonnes anales;Columnas anales;Colunas anais
Anal sinuses;Sinus anales;Sinus anaux;Senos anales;Seios anais
Anal valves;Valvulae anales;Valves anales;Válvulas anales;Válvulas anais
Pectinate line;Linea pectinata;Ligne pectinatée;Línea pectinada;Linha de pectinado
Anal pecten;Pecten analis;Pecten anal;Pectén anal;Pecten anal
Anocutaneous line;Linea anocutanea;Ligne anocutanée;Línea anocutánea;Linha anocutânea
Internal anal sphincter;Sphincter internus ani;Sphincter anal interne;Esfínter anal interno;Esfíncter anal interno
Intersphincteric groove;Sulcus intersphinctericus;Sillon intersphinctérique;Surco interesfinteriano;Sulco interesfincteriano
Corrugator cutis ani;Corrugator cutis ani;Corrugateur cutané de l'anus;Corrugadora cutaneo anal;Corrugator cutis ani
Anus;Anus;Anus;Ano;Ânus
Liver;Hepar;Foie;Hígado;Fígado
Diaphragmatic surface of liver;Facies diaphragmatica hepatis;Face diaphragmatique du foie;Cara diafragmática del hígado;Superfície diafragmática do fígado
Superior surface of liver;Facies superior hepatis;Face supérieure du foie;Cara superior del hígado;Superfície superior do fígado
Cardiac impression of liver;Impressio cardiaca hepatis;Empreinte cardique du foie;Impresión cardíaca del hígado;Impressão cardíaca de fígado
Anterior surface of liver;Facies anterior hepatis;Face antérieure du foie;Cara anterior del hígado;Superfície anterior do fígado
Right surface of liver;Facies dextra hepatis;Face droite du foie;Cara derecha del hígado;Superfície direita do fígado
Posterior surface of liver;Facies posterior hepatis;Face postérieure du foie;Cara posterior del hígado;Superfície posterior do fígado
Bare area of liver;Area nuda hepatis;Area nuda;Área desnuda del hígado;Área nua do fígado
Groove for inferior vena cava;Sulcus venae cavae inferioris;Sillon de la veine cave inférieure;Surco para la vena cava inferior;Sulco para veia cava inferior
Visceral surface of liver;Facies visceralis hepatis;Face viscérale du foie;Cara visceral del hígado;Superfície visceral do fígado
Porta hepatis;Porta hepatis;Porte du foie;Porta hepática;Porta hepatis
Main portal fissure;Fissura portalis principalis;Fissure porte principale;Fisura portal principal;Fissura portal principal
Fossa for gallbladder;Fossa vesicae biliaris;Fosse de la vésicule biliaire;Fosa para la vesícula biliar;Fossa para vesícula biliar
Right portal fissure;Fissura portalis dextra;Incisure portale droite;Fisura portal derecho;Fissura portal direita
Umbilical fissure;Fissura umbilicalis;Fissure ombillicale;Fisura umbilical;Fissura umbilical
Fissure for ligamentum teres;Fissura ligamenti teretis;Fissure du ligament rond;Fisura para el ligamento redondo;Fissura para ligamento redondo
Fissure for ligamentum venosum;Fissura ligamenti venosi;Fissure du ligament veineux;Fisura para el ligamento venoso;Fissura para ligamento venoso
Omental tuberosity of liver;Tuber omentale hepatis;Tubérosité omentale du foie;Tuberosidad omental del hígado;Tuberosidade omental do fígado
Oesophageal impression of liver;Impressio oesophagea hepatis;Empreinte oesophagienne du foie;Impresión esofágica del hígado;Impressão esofágica do fígado
Gastric impression of liver;Impressio gastrica hepatis;Empreinte gastrique du foie;Impresión gástrica del hígado;Impressão gástrica do fígado
Duodenal impression of liver;Impressio duodenalis hepatis;Empreinte duodénale du foie;Impresión duodenal del hígado;Impressão duodenal de fígado
Colic impression of liver;Impressio colica hepatis;Impression colique du foie;Impresión cólica del hígado;Impressão de cólica do fígado
Renal impression of liver;Impressio renalis hepatis;Impression rénale du foie;Impresión renal del hígado;Impressão renal do fígado
Suprarenal impression of liver;Impressio suprarenalis hepatis;Empreinte surrénale du foie;Impresión suprarrenal del hígado;Impressão suprarrenal do fígado
Inferior border of liver;Margo inferior hepatis;Bord inférieur du foie;Margen inferior del hígado;Borda inferior do fígado
Notch for ligamentum teres;Incisura ligamenti teretis;Encoche du ligament rond;Incisura para el ligamento redondo;Entalhe para ligamento redondo
Right lobe of liver;Lobus dexter hepatis;Lobe hépatique droit;Lóbulo derecho del hígado;Lobo direito do fígado
Left lobe of liver;Lobus sinister hepatis;Lobe hépatique gauche;Lóbulo izquierdo del hígado;Lobo esquerdo do fígado
Fibrous appendix of liver;Appendix fibrosa hepatis;Appendice fibreux du foie;Apéndice fibroso del hígado;Apêndice fibroso do fígado
Quadrate lobe;Lobus quadratus;Lobe carré;Lóbulo cuadrado;Lóbulo quadrado
Caudate lobe;Lobus caudatus;Lobe caudé;Lóbulo caudado;Lobo caudado
Papillary process;Processus papillaris;Processus papillaire;Proceso papilar;Processo papilar
Caudate process;Processus caudatus;Processus caudé;Proceso caudado;Processo caudate
Serosa of liver;Tunica serosa hepatis;Séreuse du foie;Capa serosa del hígado;Serosa de fígado
Subserosa of liver;Tela subserosa hepatis;Couche sous-séreuse du foie;Capa subserosa del hígado;Subserosa de fígado
Fibrous capsule of liver;Tunica fibrosa hepatis;Capsule fibreuse du foie;Cápsula fibrosa del hígado;Cápsula fibrosa do fígado
Perivascular fibrous capsule;Capsula fibrosa perivascularis;Capsule fibreuse périvasculaire;Cápsula fibrosa perivascular;Cápsula fibrosa perivascular
Lobules of liver;Lobuli hepatis;Lobules du foie;Lóbulos del hígado;Lóbulos de fígado
Portal tract;Tractus portalis;Tractus porte;Tracto portal;Trato do portal
Interlobular arteries of liver;Arteriae interlobulares hepatis;Artères interlobaires du foie;Arterias interlobulares del hígado;Artérias interlobulares do fígado
Interlobular veins of liver;Venae interlobulares hepatis;Veines interlobaires du foie;Venas interlobulares del hígado;Veias interlobulares do fígado
Interlobular bile ducts;Ductus biliferi interlobulares;Conduits biliaires interlobaires;Conductos biliares interlobulares;Dutos biliares interlobulares
Central veins;Venae centrales;Veines centrales;Venas centrales;Veias centrais
Left part of liver;Pars sinistra hepatis;Partie gauche du foie;Porción izquierda del hígado;Parte esquerda do fígado
Left lateral division of liver;Divisio lateralis sinistra hepatis;Division latérale gauche du foie;División lateral izquierda del hígado;Divisão lateral esquerda do fígado
Left posterior lateral segment of liver (II);Segmentum posterius laterale sinistrum hepatis (II);Segment postérolatéral gauche du foie (II);Segmento posterior lateral izquierdo del hígado (II);Segmento posterolateral esquerdo do fígado (II)
Left anterior lateral segment of liver (III);Segmentum anterius laterale sinistrum hepatis (III);Segment antérolatéral gauche du foie (III);Segmento anterior lateral izquierdo del hígado (III);Segmento  anterolateral esquerdo do fígado (III)
Left medial division of liver;Divisio medialis sinistra hepatis;Division médiale gauche du foie;División medial izquierda del hígado;Divisão medial esquerda do fígado
Left medial segment of liver (IV);Segmentum mediale sinistrum hepatis (IV);Segment médial gauche du foie (IV);Segmento medial izquierdo del hígado (IV);Segmento medial esquerdo do fígado (IV)
Posterior part of liver;Pars posterior hepatis;Partie hépatique postérieure;Porción posterior del hígado;Parte posterior do fígado
Posterior segment of liver (I);Segmentum posterius hepatis (I);Segment postérieur du foie (I);Segmento posterior de hígado (I);Segmento posterior do fígado (I)
Right part of liver;Pars dextra hepatis;Partie droite du foie;Porción derecha del hígado;Parte direita do fígado
Right medial division of liver;Divisio medialis dextra hepatis;Division médiale droite du foie;División medial derecha del hígado;Divisão medial direita do fígado
Anterior medial segment of liver (V);Segmentum anterius mediale dextrum hepatis (V);Segment antéromédial droit du foie (V);Segmento anterior medial del hígado (V);Segmento anteromedial do fígado (V)
Posterior medial segment of liver (VIII);Segmentum posterius mediale dextrum hepatis (VIII);Segment postéromédial droit du foie (VIII);Segmento posterior medial derecho del hígado (VIII);Segmento posteromedial do fígado (VIII)
Right lateral division of liver;Divisio lateralis dextra hepatis;Division hépatique latéral droite;División lateral derecha del hígado;Divisão lateral direita do fígado
Anterior lateral segment of liver (VI);Segmentum anterius laterale dextrum hepatis (VI);Segment antérolatéral droit (VI);Segmento anterior lateral del hígado (VI);Segmento anterolateral do fígado (VI)
Posterior lateral segment of liver (VII);Segmentum posterius laterale dextrum hepatis (VII);Segment postérolatéral droit (VII);Segmento posterior lateral del hígado (VII);Segmento posterolateral do fígado (VII)
Gallbladder;Vesica biliaris;Vésicule biliaire;Vesícula biliar;Vesícula biliar
Fundus of gallbladder;Fundus vesicae biliaris;Fond de la vésicule biliaire;Fondo de la vesícula biliar;Fundo da vesícula biliar
Infundibulum of gallbladder;Infundibulum vesicae biliaris;Infundibulum de la vésicule biliaire;Infundíbulo de la vesícula biliar;Infundíbulo da vesícula biliar
Body of gallbladder;Corpus vesicae biliaris;Corps de la vésicule biliaire;Cuerpo de la vesícula biliar;Corpo da vesícula biliar
Neck of gallbladder;Collum vesicae biliaris;Col de la vésicule biliaire;Cuello de la vesícula biliar;Pescoço da vesícula biliar
Serosa of gallbladder;Tunica serosa vesicae biliaris;Séreuse de la vésicule biliaire;Capa serosa de la vesícula biliar;Serosa da vesícula biliar
Subserosa of gallbladder;Tela subserosa vesicae biliaris;Couche sous-séreuse de la vésicule biliaire;Capa subserosa de la vesícula biliar;Subserosa da vesícula biliar
Muscular layer of gallbladder;Tunica muscularis vesicae biliaris;Musculeuse de la vésicule biliaire;Capa muscular de la vesícula biliar;Camada muscular da vesícula biliar
Mucosa of gallbladder;Tunica mucosa vesicae biliaris;Muqueuse de la vésicule biliaire;Capa mucosa de la vesícula biliar;Mucosa da vesícula biliar
Mucosal folds of gallbladder;Plicae muscosae vesicae biliaris rugae;Plis de la muqueuse de la vésicule biliaire;Pliegues mucosos de la vesícula biliar;Dobras da mucosa da vesícula biliar
Extrahepatic bile ducts;Ductus biliares extrahepatici;Conduits biliaires extrahépatiques;Conductos biliares extrahepáticos;Dutos biliares extra-hepáticos
Common hepatic duct;Ductus hepaticus communis;Conduit hépatique commun;Conducto hepático común;Ducto hepático comum
Right hepatic duct;Ductus hepaticus dexter;Conduit hépatique droit;Conducto hepático derecho;Ducto hepático direito
Anterior branch of right hepatic duct;Ramus anterior ductus hepatici dextri;Branche antérieure du conduit hépatique droit;Ramo anterior del conducto hepático derecho;Ramo anterior do ducto hepático direito
Posterior branch of right hepatic duct;Ramus posterior ductus hepatici dextri;Branche postérieure du conduit hépatique droit;Ramo posterior del conducto hepático derecho;Ramo posterior do ducto hepático direito
Left hepatic duct;Ductus hepaticus sinister;Conduit hépatique gauche;Conducto hepático izquierdo;Ducto hepático esquerdo
Lateral branch of left hepatic duct;Ramus lateralis ductus hepatici sinistri;Branche latérale du conduit hépatique gauche;Ramo lateral del conducto hepático izquierdo;Ramo lateral do ducto hepático esquerdo
Medial branch of left hepatic duct;Ramus medialis ductus hepatici sinistri;Branche médiale du conduit hépatique gauche;Ramo medial del conducto hepático izquierdo;Ramo medial do ducto hepático esquerdo
Right duct of caudate lobe;Ductus dexter lobi caudati;Conduit droit du lobe caudé;Conducto derecho del lóbulo caudado;Ducto direito do lobo caudado
Left duct of caudate lobe;Ductus sinister lobi caudati;Conduit gauche du lobe caudé;Conducto izquierdo del lóbulo caudado;Ducto esquerdo do lobo caudado
Cystic duct;Ductus cysticus;Conduit cystique;Conducto cístico;Duto cístico
Spiral fold;Plica spiralis;Pli spiral;Pliegue espiral;Dobra em espiral
Bile duct;Ductus biliaris;Canal biliaire;Conducto biliar;Ducto biliar
Supraduodenal part of bile duct;Pars supraduodenalis ductus biliaris;Partie supraduodénale du conduit biliaire;Porción supraduodenal del conducto biliar;Parte supraduodenal do ducto biliar
Retroduodenal part of bile duct;Pars retroduodenalis ductus biliaris;Partie rétroduodénale du conduit biliaire;Porción retroduodenal del conducto biliar;Parte retroduodenal do ducto biliar
Pancreatic part of bile duct;Pars pancreatica ductus biliaris;Partie pancréatique du conduit biliaire;Porción pancreática del conducto biliar;Parte pancreática do ducto biliar
Sphincter of bile duct;Sphincter ductus biliaris;Sphincter du conduit biliaire;Esfínter del conducto biliar;Esfíncter do ducto biliar
Superior sphincter of bile duct;Sphincter superior ductus biliaris;Sphincter supérieur du conduit biliaire;Esfínter superior del conducto biliar;Esfíncter superior do ducto biliar
Inferior sphincter of bile duct;Sphincter inferior ductus biliaris musculus;Sphincter inférieur du conduit biliaire;Esfínter inferior del conducto biliar;Esfíncter inferior do ducto biliar
Intramural part of biliary duct;Pars intramuralis ductus biliaris;Partie intramurale du conduit biliaire;Porción intramural del conducto biliar;Parte intramural do ducto biliar
Hepatopancreatic ampulla;Ampulla hepatopancreatica;Ampoule hépatopancréatique;Ampolla hepatopancreática;Ampola hepatopancreática
Sphincter of ampulla;Sphincter ampullae;Sphincter de l'ampoule;Esfínter de la ampolla;Esfíncter da ampola
Glands of bile duct;Glandulae ductus biliaris;Glandes du conduit biliaire;Glándulas del conducto biliar;Glândulas do ducto biliar
Pancreas;Pancreas;Pancréas;Páncreas;Pâncreas
Head of pancreas;Caput pancreatis;Tête du pancréas;Cabeza del páncreas;Cabeça de pâncreas
Uncinate process of pancreas;Processus uncinatus pancreatis;Processus unciné du pancréas;Proceso uncinado del páncreas;Processo uncinado do pâncreas
Pancreatic notch;Incisura pancreatis;Incisure pancréatique;Incisura pancreática;Entalhe pancreático
Neck of pancreas;Collum pancreatis;Col du pancréas;Cuello del páncreas;Pescoço do pâncreas
Body of pancreas;Corpus pancreatis;Corps du pancréas;Cuerpo del páncreas;Corpo do pâncreas
Anterosuperior surface of pancreas;Facies anterosuperior pancreatis;Face antérosupérieure du pancréas;Cara anterosuperior del páncreas;Superfície ânterosuperior do pâncreas
Posterior surface of pancreas;Facies posterior pancreatis;Face postérieure du pancréas;Cara posterior del páncreas;Superfície posterior do pâncreas
Antero-inferior surface of pancreas;Facies anteroinferior pancreatis;Face antéro-inférieure du pancréas;Cara anteroinferior del páncreas;Superfície ântero-inferior do pâncreas
Superior border of pancreas;Margo superior pancreatis;Bord supérieur du pancréas;Margen superior del páncreas;Borda superior do pâncreas
Anterior border of pancreas;Margo anterior pancreatis;Bord antérieur du pancréas;Margen anterior del páncreas;Borda anterior do pâncreas
Inferior border of pancreas;Margo inferior pancreatis;Bord inférieur du pancréas;Margen inferior del páncreas;Borda inferior do pâncreas
Omental eminence of pancreas;Tuber omentale pancreatis;Eminence omentale du pancréas;Eminencia omental del páncreas;Eminência omental do pâncreas
Tail of pancreas;Cauda pancreatis;Queue du pancréas;Cola del páncreas;Cauda do pâncreas
Pancreatic islets;Insulae pancreaticae;Ilots pancréatiques;Islotes pancreáticos;Ilhéus pancreáticos
Pancreatic duct;Ductus pancreaticus;Canal pancréatique;Conducto pancreático;Duto pancreático
Sphincter of pancreatic duct;Sphincter ductus pancreatici;Sphincter du conduit pancréatique;Esfínter del conducto pancreático;Esfíncter do ducto pancreático
Accessory pancreatic duct;Ductus pancreaticus accessorius;Canal pancréatique accessoire;Conducto pancreático accesorio;Ducto pancreático acessório
(Accessory pancreas);(Pancreas accessorium);(Pancréas accessoire);(Páncreas accesorio);(Pâncreas acessório)
Respiratory system;Systema respiratorium;Système respiratoire;Sistema respiratorio;Sistema respiratório
Nose;Nasus;Nez;Nariz;Nariz
Nasal cartilages;Cartilagines nasi;Cartilages nasaux;Cartílagos nasales;Cartilagens nasais
Nasal septum;Septum nasi;Septum nasal;Septo nasal;Septo nasal
Membranous part of nasal septum;Pars membranacea septi nasi;Partie membraneuse du septum nasal;Porción membranosa del tabique nasal;Parte membranosa do septo nasal
Cartilaginous part of nasal septum;Pars cartilaginea septi nasi;Partie cartilagineuse du septum nasal;Porción cartilaginosa del tabique nasal;Parte cartilaginosa do septo nasal
Vomeronasal organ;Organum vomeronasale;Organe voméronasal;Órgano vomeronasal;Órgão vomeronasal
(Incisive duct);(Ductus incisivus);(Conduit incisif);(Conducto incisivo);(Duto incisivo)
Lateral wall of nasal cavity;Paries lateralis cavitatis nasi;Paroi latérale de la cavité nasale;Pared lateral de la cavidad nasal;Parede lateral da cavidade nasal
Limen nasi;Limen nasi;Limen nasi;Limen nasal;Limen nasi
Agger nasi;Agger nasi;Agger nasi;Agger nasi;Agger nasi
Olfactory groove;Sulcus olfactorius nasi;Sillon olfactif nasal;Surco olfatorio nasal;Ranhura olfativa
Highest nasal concha;Concha suprema nasi;Cornet nasal suprême;Concha nasal suprema;Concha nasal mais alta
Superior nasal concha;Concha superior nasi;Cornet nasal supérieur;Concha nasal superior;Concha nasal superior
Middle nasal concha;Concha media nasi;Cornet nasal moyen;Concha nasal media;Concha nasal média
Ethmoidal bulla;Bulla ethmoidea;Bulle ethmoïdale;Bola etmoidal;Bula etmoidal
Inferior nasal concha;Concha inferior nasi;Cornet nasal inférieur;Concha nasal inferior;Concha nasal inferior
Cavernous plexuses of conchae;Plexus cavernosi concharum;Plexus carveneux des cornets;Plexos cavernosos de las conchas;Plexos cavernosos das conchas
Semilunar hiatus;Hiatus semilunaris;Hiatus semilunaire;Hiato semilunar;Hiato semilunar
Frontonasal duct;Ductus frontonasalis;Conduit frontonasal;Conducto frontonasal;Duto frontonasal
Ethmoidal infundibulum;Infundibulum ethmoideum;Infundibulum ethmoïdal;Infundíbulo etmoidal;Infundíbulo etmoidal
Maxillary hiatus;Hiatus maxillaris;Hiatus maxillaire;Hiato maxilar;Hiato maxilar
Opening of nasolacrimal duct;Apertura ductus nasolacrimalis;Orifice du conduit nasolacrymal;Abertura del conducto nasolagrimal;Abertura do ducto nasolacrimal
Mucosa of nasal cavity;Tunica mucosa nasi;Muqueuse de la cavité nasale;Capa mucosa de la cavidad nasal;Mucosa da cavidade nasal
Vestibular part of nasal mucosa;Pars vestibularis tunicae mucosae nasi;Partie vestibulaire de la muqueuse nasale;Porción vestibular de la mucosa nasal;Parte vestibular da mucosa nasal
Respiratory part of nasal mucosa;Pars respiratoria tunicae mucosae nasi;Partie respiratoire de la muqueuse nasale;Porción respiratoria de la mucosa nasal;Parte respiratória da mucosa nasal
Nasal glands;Glandulae nasales;Glandes nasales;Glándulas nasales;Glândulas nasais
Roof of nasal cavity;Paries superior cavitatis nasi;Toit de la cavité nasale;Pared superior de la cavidad nasal;Teto da cavidade nasal
Olfactory part of nasal mucosa;Pars olfactoria tunicae mucosae nasi;Partie olfactive de la muqueuse nasale;Porción olfatoria de la capa mucosa nasal;Parte olfatória da mucosa nasal
Opening of sphenoidal sinus;Apertura sinus sphenoidei;Orifice du sinus sphénoïde;Abertura del seno esfenoidal;Abertura do sinus esfenoidal
Nasal cavity;Cavitas nasi;Cavité nasale;Cavidad nasal;Cavidade nasal
Nostril;Naris;Narine;Narinas ;Narina
Nasal vestibule;Vestibulum nasi;Vestibule nasal;Vestíbulo nasal;Vestíbulo nasal
Spheno-ethmoidal recess;Recessus sphenoethmoideus;Récessus sphéno-ethmoïdal;Receso esfenoetmoidal;Recesso esfeno-etmoidal
Superior nasal meatus;Meatus superior nasi;Méat nasal supérieur;Meato nasal superior;Meato nasal superior
Middle nasal meatus;Meatus medius nasi;Méat nasal moyen;Meato nasal medio;Meato nasal médio
Atrium of middle meatus;Atrium meatus medii;Atrium du méat moyen;Atrio del meato medio;Átrio do meato médio
Inferior nasal meatus;Meatus inferior nasi;Méat nasal inférieur;Meato nasal inferior;Meato nasal inferior
Common nasal meatus;Meatus communis nasi;Méat nasal commun;Meato nasal común;Meato nasal comum
Nasopharyngeal meatus;Meatus nasopharyngeus;Méat nasopharyngien;Meato nasofaríngeo;Meato nasofaríngeo
Paranasal sinuses;Sinus paranasales;Sinus paranasaux;Senos paranasales;Seios paranasais
Maxillary sinus;Sinus maxillaris;Sinus maxillaire;Seno maxilar;Seio maxilar
Sphenoidal sinus;Sinus sphenoideus;Sinus sphénoïdal;Seno esfenoidal;Seio esfenoidal
Frontal sinus;Sinus frontalis;Sinus frontal;Seno frontal;Seio frontal
Ethmoidal cells;Cellulae ethmoideae;Cellules ethmoïdales;Celdas etmoidales;Células etmoidais
Anterior ethmoidal cells;Cellulae ethmoideae anteriores;Cellules ethmoïdales antérieures;Celdas etmoidales anteriores;Células etmoidais anteriores
Middle ethmoidal cells;Cellulae ethmoideae mediae;Cellules ethmoïdales moyennes;Celdas etmoidales medias;Células etmoidais médias
Posterior ethmoidal cells;Cellulae ethmoideae posteriores;Cellules ethmoïdales postérieures;Celdas etmoidales posteriores;Células etmoidais posteriores
Larynx;Larynx;Larynx;Laringe;Laringe
Mucosa of larynx;Tunica mucosa laryngis;Muqueuse du larynx;Capa mucosa de laringe;Mucosa da laringe
Laryngeal glands;Glandulae laryngeae;Glandes laryngées;Glándulas laríngeas;Glândulas laríngeas
Laryngeal cartilages;Cartilagines laryngis;Cartilages du larynx;Cartílagos laríngeos;Cartilagens laríngeas
Laryngeal joints;Juncturae laryngis (part of respiratory system);Articulations du larynx (système respiratoire);Articulaciones laríngeas (Parte del sistema respiratorio);Articulações laríngeas (part of respiratory system)
Epiglottis;Epiglottis;Epiglotte;Epiglotis;Epiglote
Epiglottic tubercle;Tuberculum epiglotticum;Tubercule épiglottique;Tubérculo epiglótico;Tubérculo epiglótico
Pre-epiglottic fat body;Corpus adiposum preepiglotticum;Corps adipeux pré-épiglottique;Cuerpo adiposo preepiglótico;Gordura corporal pré-epiglótica
Ary-epiglottic fold;Plica aryepiglottica;Pli ary-épiglottique;Pliegue ari-oepiglótico;Prega ary-epiglótica
Corniculate tubercle;Tuberculum corniculatum;Tubercule corniculé;Tubérculo corniculado;Tubérculo corniculado
Cuneiform tubercle;Tuberculum cuneiforme;Tubercule cunéïforme;Tubérculo cuneiforme;Tubérculo cuneiforme
Vestibular fold;Plica vestibularis;Pli vestibulaire;Pliegue vestibular;Prega vestibular
Glottis;Glottis;Glotte;Glotis;Glott
Vocal fold;Plica vocalis;Pli vocal;Pliegue vocal;Prega vocal
Fibro-elastic membrane of larynx (respiratory system);Membrana fibroelastica laryngis (respiratory system);Membrane fibro-élastique du larynx (système respiratoire);Membrana fibroelástica de la laringe (Sistema respiratorio);Membrana fibro-elástica da laringe (respiratory system)
Interarytenoid fold;Plica interarytenoidea;Pli interaryténoïdien;Pliegue interaritenoideo;Dobra interaritenóide
Laryngeal cavity;Cavitas laryngis;Cavité du larynx;Cavidad laríngea;Cavidade laríngea
Laryngeal inlet;Aditus laryngis;Aditus laryngé;Ádito laríngeo;Entrada laríngea
Interarytenoid notch;Incisura interarytenoidea;Incisure interarythoïdienne;Incisura interaritenoidea;Entalhe interaritenóide
Laryngeal vestibule;Vestibulum laryngis;Vestibule laryngien;Vestíbulo laríngeo;Vestíbulo laríngeo
